Название,Артикул,Категория,Цена без карты,Цена с картой
Снегозадержатель BORGE Трубчатый New Line 4 опоры коричневый шоколад,17162501,Строительные материалы,1 060.58 ₽,954.52 ₽
Снегозадержатель DOCKE шоколад,10362201,Строительные материалы,55.47 ₽,52.70 ₽
"Металлочерепица Супермонтеррей RAL3005 красное вино 2250х1180х0,4мм",11221001,Строительные материалы,1 433.70 ₽,1 362.01 ₽
"Металлочерепица Супермонтеррей RAL8017 шоколад 2250x1180х0,4мм",7148601,Строительные материалы,1 433.70 ₽,1 362.01 ₽
"Металлочерепица Супермонтеррей RAL6005 зелёный мох 2250x1180х0,4мм",7148401,Строительные материалы,1 433.70 ₽,1 362.01 ₽
"Металлочерепица Супермонтеррей RAL8017 шоколадная 1550х1180х0,4мм",7148501,Строительные материалы,988.20 ₽,938.79 ₽
"Металлочерепица Супермонтеррей RAL3005 красное вино 1550х1180х0,4мм",11220901,Строительные материалы,988.20 ₽,938.79 ₽
"Металлочерепица Супермонтеррей RAL6005 зелёный мох 1550х1180х0,4мм",7148301,Строительные материалы,988.20 ₽,938.79 ₽
Конёк плоский RAL8017 шоколадный 2000мм,12725501,Строительные материалы,757.40 ₽,681.66 ₽
Ендова нижняя К-510 оцинкованная 2000мм,12724701,Строительные материалы,977.40 ₽,928.53 ₽
Конёк фигурный RAL3005 красный 2000мм,12725201,Строительные материалы,730.35 ₽,693.83 ₽
Ендова верхняя К-508 шоколадная 2000мм,12725101,Строительные материалы,700.65 ₽,665.62 ₽
Конек фигурный RAL6005 зелёный 2000мм,12725401,Строительные материалы,730.35 ₽,693.83 ₽
Конёк плоский оцинкованный 2000мм,12725601,Строительные материалы,651.00 ₽,585.90 ₽
Ендова верхняя К-508 красная 2000мм,12724801,Строительные материалы,700.65 ₽,665.62 ₽
Ендова верхняя К-508 зелёная 2000мм,12725001,Строительные материалы,700.65 ₽,665.62 ₽
Планка примыкания верхняя К-501 RAL6005 зелёный 2000мм,12732401,Строительные материалы,560.25 ₽,532.24 ₽
Планка примыкания нижняя К-502 RAL3005 красная 2000мм,12731801,Строительные материалы,560.25 ₽,532.24 ₽
Планка примыкания верхняя К-501 RAL3005 красная 2000мм,12732201,Строительные материалы,560.25 ₽,532.24 ₽
Планка примыкания нижняя К-502 RAL8017 шоколадная 2000мм,12732101,Строительные материалы,560.25 ₽,532.24 ₽
Планка примыкания нижняя К-502 RAL6005 зелёная 2000мм,12732001,Строительные материалы,560.25 ₽,532.24 ₽
Планка примыкания верхняя К-501 RAL8017 шоколадная 2000мм,12732501,Строительные материалы,560.25 ₽,532.24 ₽
Планка примыкания нижняя К-502 оцинкованная 2000мм,12731701,Строительные материалы,526.50 ₽,500.17 ₽
Планка примыкания верхняя К-501 оцинкованная 2000мм,12732601,Строительные материалы,526.50 ₽,500.17 ₽
Гибкая черепица DOCKE Pie Basic Лабиринт Красная,22028701,Строительные материалы,885.00 ₽,840.75 ₽
Гибкая черепица DOCKE Gold Цюрих Кофе,10376801,Строительные материалы,2 400.57 ₽,2 280.54 ₽
Коньково-карнизная черепица DOCKE Pie Standard Коричневая,20360501,Строительные материалы,4 430.79 ₽,4 209.25 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Красный коралл,19191401,Строительные материалы,5 699.00 ₽,5 414.05 ₽
Гибкая черепица DOCKE Gold Цюрих Фладен,10376901,Строительные материалы,2 401.97 ₽,2 281.87 ₽
Коньково-карнизная черепица DOCKE Pie Standard Красная,20360601,Строительные материалы,4 430.79 ₽,4 209.25 ₽
Ендовый ковёр DOCKE синий,10378301,Строительные материалы,5 598.84 ₽,5 318.90 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Зеленый,19191301,Строительные материалы,5 699.00 ₽,5 414.05 ₽
Ендовый ковёр DOCKE медный,10361301,Строительные материалы,5 597.44 ₽,5 317.57 ₽
Ендовый ковёр DOCKE красный,10361201,Строительные материалы,5 596.04 ₽,5 316.24 ₽
Ендовый ковёр DOCKE коричневый,10361101,Строительные материалы,5 594.64 ₽,5 314.91 ₽
Ендовый ковёр DOCKE графит,10378201,Строительные материалы,5 591.84 ₽,5 312.25 ₽
Подкладочный ковёр DOCKE D-Basis Comfopt,10380801,Строительные материалы,5 581.80 ₽,5 302.71 ₽
Ендовый ковёр DOCKE зелёный,10361001,Строительные материалы,5 593.24 ₽,5 313.58 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Светло-коричневый,16409901,Строительные материалы,4 899.00 ₽,4 654.05 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Серый камень,16410001,Строительные материалы,4 899.00 ₽,4 654.05 ₽
Ендовый ковер ТЕХНОНИКОЛЬ Shinglas Кирпичный,16409701,Строительные материалы,4 899.00 ₽,4 654.05 ₽
Коньково-карнизная черепица DOCKE Simple красная,10361801,Строительные материалы,4 526.18 ₽,4 299.87 ₽
Коньково-карнизная черепица DOCKE Gold Чернослив,10380301,Строительные материалы,4 404.27 ₽,4 184.06 ₽
Коньково-карнизная черепица DOCKE Gold Чили,10380401,Строительные материалы,4 405.67 ₽,4 185.39 ₽
